"","Date","Year","Month","Day","Port","Landing_tm"
"275",2011-10-02,2011,10,2,"TAMBODMORA",0
"276",2011-10-03,2011,10,3,"TAMBODMORA",0
"277",2011-10-04,2011,10,4,"TAMBODMORA",0
"278",2011-10-05,2011,10,5,"TAMBODMORA",0
"279",2011-10-06,2011,10,6,"TAMBODMORA",0
"280",2011-10-07,2011,10,7,"TAMBODMORA",0
"281",2011-10-08,2011,10,8,"TAMBODMORA",0
"282",2011-10-09,2011,10,9,"TAMBODMORA",0
"283",2011-10-10,2011,10,10,"TAMBODMORA",0
"284",2011-10-11,2011,10,11,"TAMBODMORA",0
"285",2011-10-12,2011,10,12,"TAMBODMORA",0
"286",2011-10-13,2011,10,13,"TAMBODMORA",0
"287",2011-10-14,2011,10,14,"TAMBODMORA",0
"288",2011-10-15,2011,10,15,"TAMBODMORA",0
"289",2011-10-16,2011,10,16,"TAMBODMORA",0
"290",2011-10-17,2011,10,17,"TAMBODMORA",0
"291",2011-10-18,2011,10,18,"TAMBODMORA",0
"292",2011-10-19,2011,10,19,"TAMBODMORA",0
"293",2011-10-20,2011,10,20,"TAMBODMORA",0
"294",2011-10-21,2011,10,21,"TAMBODMORA",0
"295",2011-10-22,2011,10,22,"TAMBODMORA",0
"296",2011-10-23,2011,10,23,"TAMBODMORA",0
"297",2011-10-24,2011,10,24,"TAMBODMORA",0
"298",2011-10-25,2011,10,25,"TAMBODMORA",0
"299",2011-10-26,2011,10,26,"TAMBODMORA",0
"300",2011-10-27,2011,10,27,"TAMBODMORA",0
"301",2011-10-28,2011,10,28,"TAMBODMORA",0
"302",2011-10-29,2011,10,29,"TAMBODMORA",0
"303",2011-10-30,2011,10,30,"TAMBODMORA",0
"304",2011-10-31,2011,10,31,"TAMBODMORA",0
"305",2011-11-01,2011,11,1,"TAMBODMORA",0
"306",2011-11-02,2011,11,2,"TAMBODMORA",0
"307",2011-11-03,2011,11,3,"TAMBODMORA",0
"308",2011-11-04,2011,11,4,"TAMBODMORA",0
"309",2011-11-05,2011,11,5,"TAMBODMORA",0
"310",2011-11-06,2011,11,6,"TAMBODMORA",0
"311",2011-11-07,2011,11,7,"TAMBODMORA",0
"312",2011-11-08,2011,11,8,"TAMBODMORA",0
"313",2011-11-09,2011,11,9,"TAMBODMORA",0
"314",2011-11-10,2011,11,10,"TAMBODMORA",0
"315",2011-11-11,2011,11,11,"TAMBODMORA",0
"316",2011-11-12,2011,11,12,"TAMBODMORA",0
"317",2011-11-13,2011,11,13,"TAMBODMORA",0
"318",2011-11-14,2011,11,14,"TAMBODMORA",0
"319",2011-11-15,2011,11,15,"TAMBODMORA",0
"320",2011-11-16,2011,11,16,"TAMBODMORA",0
"321",2011-11-17,2011,11,17,"TAMBODMORA",0
"322",2011-11-18,2011,11,18,"TAMBODMORA",0
"323",2011-11-19,2011,11,19,"TAMBODMORA",0
"324",2011-11-20,2011,11,20,"TAMBODMORA",0
"325",2011-11-21,2011,11,21,"TAMBODMORA",0
"326",2011-11-22,2011,11,22,"TAMBODMORA",0
"327",2011-11-23,2011,11,23,"TAMBODMORA",2946
"328",2011-11-24,2011,11,24,"TAMBODMORA",2488
"329",2011-11-25,2011,11,25,"TAMBODMORA",3753
"330",2011-11-26,2011,11,26,"TAMBODMORA",391.6
"331",2011-11-27,2011,11,27,"TAMBODMORA",3825
"332",2011-11-28,2011,11,28,"TAMBODMORA",2617
"333",2011-11-29,2011,11,29,"TAMBODMORA",4392
"334",2011-11-30,2011,11,30,"TAMBODMORA",5069
"335",2011-12-01,2011,12,1,"TAMBODMORA",4443
"336",2011-12-02,2011,12,2,"TAMBODMORA",2837
"337",2011-12-03,2011,12,3,"TAMBODMORA",5340
"338",2011-12-04,2011,12,4,"TAMBODMORA",5600
"339",2011-12-05,2011,12,5,"TAMBODMORA",3464
"340",2011-12-06,2011,12,6,"TAMBODMORA",5033
"341",2011-12-07,2011,12,7,"TAMBODMORA",3620
"342",2011-12-08,2011,12,8,"TAMBODMORA",5656
"343",2011-12-09,2011,12,9,"TAMBODMORA",3444
