"Colony","Month","Year","Date","NBrC","BrC","EgC","ChC","JuC","TotC","NBrB","BrB","EgB","ChB","JuB","TotB","NBrP","BrP","EgP","ChP","JuP","TotP"
"CHS",7,2001,2001-07-15,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,3800,NA,NA,NA,NA,NA,4
"BA",7,2001,2001-07-15,NA,NA,NA,NA,NA,45000,NA,NA,NA,NA,NA,18950,NA,NA,NA,NA,NA,100
"CHN",8,2001,2001-08-15,NA,NA,NA,NA,NA,15000,NA,NA,NA,NA,NA,56500,NA,NA,NA,NA,NA,2700
"CHC",8,2001,2001-08-15,NA,NA,NA,NA,NA,10000,NA,NA,NA,NA,NA,43100,NA,NA,NA,NA,NA,0
"CHS",8,2001,2001-08-15,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,6050,NA,NA,NA,NA,NA,10
"BA",8,2001,2001-08-15,NA,NA,NA,NA,NA,45000,NA,NA,NA,NA,NA,17900,NA,NA,NA,NA,NA,50
"CHN",9,2001,2001-09-15,NA,NA,NA,NA,NA,15000,NA,NA,NA,NA,NA,59100,NA,NA,NA,NA,NA,420
"CHC",9,2001,2001-09-15,NA,NA,NA,NA,NA,9000,NA,NA,NA,NA,NA,31100,NA,NA,NA,NA,NA,125
"CHS",9,2001,2001-09-15,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,18000,NA,NA,NA,NA,NA,0
"BA",9,2001,2001-09-15,NA,NA,NA,NA,NA,42000,NA,NA,NA,NA,NA,21000,NA,NA,NA,NA,NA,0
"CHN",10,2001,2001-10-15,NA,NA,NA,NA,NA,25500,NA,NA,NA,NA,NA,74190,NA,NA,NA,NA,NA,2010
"CHC",10,2001,2001-10-15,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,9000,NA,NA,NA,NA,NA,0
"CHS",10,2001,2001-10-15,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,72500,NA,NA,NA,NA,NA,0
"BA",10,2001,2001-10-15,NA,NA,NA,NA,NA,36000,NA,NA,NA,NA,NA,19250,NA,NA,NA,NA,NA,80
"CHN",11,2001,2001-11-15,NA,NA,NA,NA,NA,1500,NA,NA,NA,NA,NA,82300,NA,NA,NA,NA,NA,405
"CHC",11,2001,2001-11-15,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,7700,NA,NA,NA,NA,NA,0
"CHS",11,2001,2001-11-15,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,31100,NA,NA,NA,NA,NA,0
"BA",11,2001,2001-11-15,NA,NA,NA,NA,NA,54400,NA,NA,NA,NA,NA,20000,NA,NA,NA,NA,NA,120
"CHN",12,2001,2001-12-15,NA,NA,NA,NA,NA,2300,NA,NA,NA,NA,NA,110350,NA,NA,NA,NA,NA,580
"CHC",12,2001,2001-12-15,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,19000,NA,NA,NA,NA,NA,0
